movie_count,threshold,tier,start_date,end_date,days,max_share,avg_share,representative_movies,representative_movie_labels
3,70% 이상,500만미만,2021-01-05,2021-01-05,1,71.89542483660131,71.89542483660131,원더 우먼 1984 / 화양연화 / 조제,"원더 우먼 1984 (<5M, 548,695명) / 화양연화 (<5M, 114,911명) / 조제 (<5M, 209,062명)"
3,60% 이상,500만미만,2021-01-06,2021-01-06,1,63.963002490217,63.963002490217,원더 우먼 1984 / 화양연화 / 완벽한 가족,"원더 우먼 1984 (<5M, 548,695명) / 화양연화 (<5M, 114,911명) / 완벽한 가족 (<5M, 8,634명)"
3,70% 이상,500만미만,2021-01-20,2021-01-27,8,80.22905364677517,76.46509818855614,소울 / 커넥트 / 원더 우먼 1984,"소울 (<5M, 2,037,876명) / 커넥트 (<5M, 13,197명) / 원더 우먼 1984 (<5M, 548,695명)"
3,60% 이상,500만미만,2021-01-28,2021-02-02,6,69.10994764397907,67.19293204063007,소울 / 세자매 / 명탐정 코난: 진홍의 수학여행,"소울 (<5M, 2,037,876명) / 세자매 (<5M, 77,926명) / 명탐정 코난: 진홍의 수학여행 (<5M, 56,837명)"
3,70% 이상,500만미만,2021-02-03,2021-02-03,1,70.21680216802167,70.21680216802167,소울 / 극장판 귀멸의 칼날: 무한열차편 / 어니스트 씨프,"소울 (<5M, 2,037,876명) / 극장판 귀멸의 칼날: 무한열차편 (<5M, 2,213,329명) / 어니스트 씨프 (<5M, 80,784명)"
3,60% 이상,500만미만,2021-02-04,2021-02-09,6,67.87623066104078,65.63054395338237,소울 / 극장판 귀멸의 칼날: 무한열차편 / 어니스트 씨프,"소울 (<5M, 2,037,876명) / 극장판 귀멸의 칼날: 무한열차편 (<5M, 2,213,329명) / 어니스트 씨프 (<5M, 80,784명)"
3,60% 이상,500만미만,2021-02-18,2021-02-18,1,60.08759923350671,60.08759923350671,미션 파서블 / 소울 / 극장판 귀멸의 칼날: 무한열차편,"미션 파서블 (<5M, 444,052명) / 소울 (<5M, 2,037,876명) / 극장판 귀멸의 칼날: 무한열차편 (<5M, 2,213,329명)"
3,60% 이상,500만미만,2021-02-21,2021-02-23,3,63.61161524500907,62.02255988094274,미션 파서블 / 소울 / 극장판 귀멸의 칼날: 무한열차편,"미션 파서블 (<5M, 444,052명) / 소울 (<5M, 2,037,876명) / 극장판 귀멸의 칼날: 무한열차편 (<5M, 2,213,329명)"
3,60% 이상,500만미만,2021-03-20,2021-03-20,1,60.10498687664042,60.10498687664042,미나리 / 극장판 귀멸의 칼날: 무한열차편 / 라야와 마지막 드래곤,"미나리 (<5M, 1,128,307명) / 극장판 귀멸의 칼날: 무한열차편 (<5M, 2,213,329명) / 라야와 마지막 드래곤 (<5M, 316,986명)"
3,60% 이상,500만미만,2021-03-22,2021-03-29,8,69.23973201281677,64.02109011547647,고질라 VS. 콩 / 미나리 / 극장판 귀멸의 칼날: 무한열차편,"고질라 VS. 콩 (<5M, 698,632명) / 미나리 (<5M, 1,128,307명) / 극장판 귀멸의 칼날: 무한열차편 (<5M, 2,213,329명)"
3,70% 이상,500만미만,2021-03-30,2021-03-30,1,71.37756620053555,71.37756620053555,고질라 VS. 콩 / 미나리 / 극장판 귀멸의 칼날: 무한열차편,"고질라 VS. 콩 (<5M, 698,632명) / 미나리 (<5M, 1,128,307명) / 극장판 귀멸의 칼날: 무한열차편 (<5M, 2,213,329명)"
3,60% 이상,500만미만,2021-03-31,2021-04-03,4,61.06615897191814,60.47818553748526,자산어보 / 고질라 VS. 콩 / 극장판 귀멸의 칼날: 무한열차편,"자산어보 (<5M, 342,357명) / 고질라 VS. 콩 (<5M, 698,632명) / 극장판 귀멸의 칼날: 무한열차편 (<5M, 2,213,329명)"
3,60% 이상,500만미만,2021-04-05,2021-04-06,2,64.56628477905073,64.42502877169443,자산어보 / 고질라 VS. 콩 / 극장판 귀멸의 칼날: 무한열차편,"자산어보 (<5M, 342,357명) / 고질라 VS. 콩 (<5M, 698,632명) / 극장판 귀멸의 칼날: 무한열차편 (<5M, 2,213,329명)"
3,60% 이상,500만미만,2021-05-19,2021-05-19,1,66.87177451369591,66.87177451369591,분노의 질주: 더 얼티메이트 / 도라에몽: 스탠바이미 2 / 스파이럴,"분노의 질주: 더 얼티메이트 (<5M, 2,290,975명) / 도라에몽: 스탠바이미 2 (<5M, 81,299명) / 스파이럴 (<5M, 128,928명)"
3,70% 이상,500만미만,2021-05-20,2021-05-20,1,72.15823735603405,72.15823735603405,분노의 질주: 더 얼티메이트 / 도라에몽: 스탠바이미 2 / 스파이럴,"분노의 질주: 더 얼티메이트 (<5M, 2,290,975명) / 도라에몽: 스탠바이미 2 (<5M, 81,299명) / 스파이럴 (<5M, 128,928명)"
3,60% 이상,500만미만,2021-05-21,2021-05-24,4,69.97934950955086,68.42142217018643,분노의 질주: 더 얼티메이트 / 극장판 귀멸의 칼날: 무한열차편 / 스파이럴,"분노의 질주: 더 얼티메이트 (<5M, 2,290,975명) / 극장판 귀멸의 칼날: 무한열차편 (<5M, 2,213,329명) / 스파이럴 (<5M, 128,928명)"
3,70% 이상,500만미만,2021-05-25,2021-06-02,9,77.29113924050633,74.46809552124533,분노의 질주: 더 얼티메이트 / 크루엘라 / 파이프라인,"분노의 질주: 더 얼티메이트 (<5M, 2,290,975명) / 크루엘라 (<5M, 1,978,688명) / 파이프라인 (<5M, 139,818명)"
3,60% 이상,500만미만,2021-06-03,2021-06-06,4,69.02031784349225,68.61859187407957,크루엘라 / 분노의 질주: 더 얼티메이트 / 컨저링3: 악마가 시켰다,"크루엘라 (<5M, 1,978,688명) / 분노의 질주: 더 얼티메이트 (<5M, 2,290,975명) / 컨저링3: 악마가 시켰다 (<5M, 797,370명)"
3,70% 이상,500만미만,2021-06-07,2021-06-08,2,76.41196013289036,73.66008981962035,크루엘라 / 분노의 질주: 더 얼티메이트 / 컨저링3: 악마가 시켰다,"크루엘라 (<5M, 1,978,688명) / 분노의 질주: 더 얼티메이트 (<5M, 2,290,975명) / 컨저링3: 악마가 시켰다 (<5M, 797,370명)"
