date,movie_nm,movie_cd,rank,scrn_cnt,show_cnt,screen_audi_cnt,SS_screen_share_pct,open_date,seat_sales_rate_pct,seat_share_pct_from_kobis,seat_share_pct,seat_share_recalc_vs_kobis_gap_p,audience_share_pct,seats_cnt,audi_cnt,audi_acc,total_seats_cnt,total_audi_cnt,screen_share,seat_share,audience_share,seat_sales_rate,SOI_seat_overallocation,ScOI_screen_overallocation,StEI_seat_efficiency,ScEI_screen_efficiency,MII,MII_pct,screen_minus_audience_share_p,seat_minus_audience_share_p,has_seat_data,over_30_period_start,over_30_period_end,is_in_peak_over_30_period
2024-06-22,범죄도시4,20228797,10,137.0,170.0,2830.0,2.884817856390819,2024-04-24,18.6,0.52,0.5544322508790447,0.03443225087904467,0.3114856766118283,15213.0,2830.0,11489555.0,2743888.0,908549.0,0.02884817856390819,0.005544322508790447,0.003114856766118283,0.18600000000000003,1.7799606611445413,9.261478369632588,0.5618101690837285,0.10797412249850895,0.023482417351021266,2.3482417351021265,2.573332179778991,0.2429465742672164,True,2024-04-24,2024-05-14,False
2024-06-23,범죄도시4,20228797,9,127.0,156.0,2539.0,2.6491447642886943,2024-04-24,17.1,0.53,0.5637991458880731,0.03379914588807309,0.3173500086868159,14810.0,2539.0,11492094.0,2626822.0,800063.0,0.026491447642886943,0.005637991458880731,0.003173500086868159,0.171,1.7765846240907817,8.347706607133146,0.5628777748269541,0.1197933812318579,0.021961410095953274,2.1961410095953275,2.3317947556018783,0.24644913720125722,True,2024-04-24,2024-05-14,False
2024-06-24,범죄도시4,20228797,6,181.0,250.0,1757.0,4.110833522598228,2024-04-24,6.9,1.04,1.138374738859097,0.09837473885909698,0.8648270838050423,25665.0,1757.0,11493851.0,2254530.0,203162.0,0.041108335225982284,0.01138374738859097,0.008648270838050422,0.069,1.31630329366017,4.753358907900406,0.7597033334311248,0.21037754972340336,0.03827186009538951,3.8271860095389507,3.246006438793186,0.27354765505405476,True,2024-04-24,2024-05-14,False
2024-06-25,범죄도시4,20228797,10,182.0,250.0,1584.0,4.010577346848832,2024-04-24,6.3,1.03,1.1337681724919002,0.10376817249190018,0.8495575221238939,25192.0,1584.0,11495435.0,2221971.0,186450.0,0.04010577346848832,0.011337681724919002,0.008495575221238939,0.063,1.3345396197040074,4.72078375201998,0.7493220772432322,0.21182923271418846,0.03757910973997356,3.757910973997356,3.161019824724938,0.2842106503680063,True,2024-04-24,2024-05-14,False
2024-09-09,베테랑2,20239670,10,7.0,8.0,2474.0,0.1680268843014882,,,,,,,,,,,,0.001680268843014882,,,,,,,,,,,,False,2024-09-13,2024-09-30,False
2024-09-11,베테랑2,20239670,10,19.0,20.0,4043.0,0.4498106060606061,,,,,,,,,,,,0.004498106060606061,,,,,,,,,,,,False,2024-09-13,2024-09-30,False
2024-09-12,베테랑2,20239670,2,61.0,65.0,11689.0,1.4159702878365832,,,,,,,,,,,,0.014159702878365831,,,,,,,,,,,,False,2024-09-13,2024-09-30,False
2024-09-13,베테랑2,20239670,1,2682.0,13450.0,497498.0,53.704445334401285,2024-09-13,25.3,75.22,79.14300937612259,3.923009376122593,92.11663586841803,1969602.0,497498.0,515994.0,2488662.0,540074.0,0.5370444533440129,0.791430093761226,0.9211663586841803,0.253,0.8591608739291422,0.5830048484522841,1.1639263732143292,1.7152516015170753,0.4011722066479776,40.117220664797756,-38.412190534016744,-12.973626492295438,True,2024-09-13,2024-09-30,True
2024-09-14,베테랑2,20239670,1,2668.0,13928.0,755086.0,49.28874930722335,2024-09-13,36.8,72.6,76.25476210829916,3.654762108299167,86.67085241118397,2051642.0,755086.0,1271080.0,2690510.0,871211.0,0.4928874930722335,0.7625476210829916,0.8667085241118397,0.368,0.8798201469916462,0.5686888721641689,1.136595932042796,1.7584307500065175,0.31150489562165157,31.150489562165156,-37.382103103960624,-10.416090302884811,True,2024-09-13,2024-09-30,True
2024-09-15,베테랑2,20239670,1,2691.0,13983.0,824702.0,48.64425162689805,2024-09-13,40.2,72.74,76.38992019721678,3.6499201972167867,87.84471537614318,2051352.0,824702.0,2095782.0,2685370.0,938818.0,0.4864425162689805,0.7638992019721678,0.8784471537614319,0.402,0.8696017725155348,0.553752737641732,1.14995165788043,1.8058601466400004,0.2908926247288503,29.08926247288503,-39.20046374924514,-11.454795178926403,True,2024-09-13,2024-09-30,True
